dal_ys_disability_adjusted_life_years_communicable_maternal_neonatal_and_nutritional_diseases,prevalence_schizophrenia,deaths_vitamin_a_deficiency,deaths_high_systolic_blood_pressure,prevalence_bipolar_disorder,deaths_high_body_mass_index,life_expectancy,prevalence_eating_disorders,deaths_unsafe_sex,deaths_diet_low_in_fruits,prevalence_anxiety_disorders,percent_prevalence_depressive_disorders,prevalence_drug_use_disorders,total_life_satis,kg_banana_capita_year,kg_dates_capita_year,kg_citrus_other_capita_year,kg_orng_mand_capita_year,kg_apple_prod_capita_year,kg_lemon_lime_capita_year,kg_grape_capita_year,kg_grapefrt_prod_capita_year,kg_pineapple_prod_capita_year,kg_plantains_capita_year,kg_other_frt_capita_year,brain_nvss_cancer_deaths,breast_cancer_deaths,cervical_cancer_deaths,colon_rect_cancer_deaths,esophageal_cancer_deaths,gallbladder_cancer_deaths,kidney_cancer_deaths,larynx_cancer_deaths,leukemia_deaths,lip_and_oral_cavity_cancer_deaths,liver_cancer_deaths,non_hodgkin_lymphoma_deaths,other_cancers_deaths,other_pharynx_cancer_deaths,ovarian_cancer_deaths,pancreatic_cancer_deaths,prostate_cancer_deaths,stomach_cancer_deaths,tracheal_bronchus_and_lung_cancer_deaths,cal_frm_animl_prot,cal_frm_plnt_prot,cal_frm_fat,cal_frm_carbs,entity,year,fruit_consumed_kg_pc_year,gdp_capita_year,total_pop,continent,prevalence_alcohol_use_disorders
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dominican_Republic,1936,NA,NA,1501389,NA,NA
NA,NA,NA,NA,NA,NA,54.098,NA,NA,NA,NA,NA,NA,NA,119.75,0,8.87,27.23,0.5,5.38,0.26,0.2,9.35,54.84,30.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.72,127.56,421.47,1408.25,Ecuador,1962,703.5498,NA,4809194,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ecuador,1920,NA,NA,1844347,NA,NA
9655824.612304645,0.181962490143,4368.307782484087,76199.58874857181,0.766232815736,52546.862175724986,67.249,0.152994737001,370.6765242304876,16846.985726854615,4.29029842608,3.17682407716,1.27421391573,NA,8.36,10.7,0.04,29.01,6.25,4.35,13.83,0.01,0.01,0,18.17,1217,2029,376,1718,546,1842,304,361,2097,224,5384,987,3966,103,770,1310,915,1857,2248,61.08,304.16,498.24,2468.52,Egypt,1996,248.60020000000003,6671.08939267294,63601632,NA,0.619534265853
NA,NA,NA,NA,NA,NA,43.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Egypt,1954,NA,NA,22611502,NA,NA
24673.573917929694,0.201504850936,0.03635770910154351,5656.579021841602,0.707936578633,2713.665958528672,74.723,0.246115391826,103.66089998832014,800.2249944094153,2.96852622393,4.05113254844,1.12278094156,5.138,8.27,0.04,0.21,19.01,21,1.32,6.66,1.91,2.45,0,21.74,86,227,75,415,65,19,118,41,125,55,88,69,322,33,107,229,221,331,665,220.84,173.88,860.13,2093.15,Estonia,2009,226.37880000000004,25390.753967296,1336140,NA,5.01508508821
NA,NA,NA,NA,NA,NA,70.322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.2,226.68,727.29,2115.83,Estonia,1967,NA,NA,1319249,NA,NA
NA,NA,NA,NA,NA,NA,74.6,NA,NA,NA,NA,NA,NA,NA,9.3,0.03,0.01,16.78,15.18,0.82,4.82,1.46,1.19,0,11.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234.64,132.6,1111.77,1483.99,Finland,1985,168.29080000000002,NA,4911220,NA,NA
NA,NA,NA,NA,NA,NA,56.299999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Finland,1943,NA,NA,3783681,NA,NA
NA,NA,NA,NA,NA,NA,82.659,NA,NA,NA,NA,NA,NA,6.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,2019,NA,45834.1669122703,65129731,NA,NA
1050778.7853917691,0.25319130016499997,1.5382236370188815,241667.2508016339,0.769740526708,92530.53340182238,76.623,0.47775822479599994,5867.427119047031,36933.831054361595,6.783240157459999,3.899397054740001,0.7507216856419999,NA,14.07,0.05,0.5,7.3,19.59,1.39,7.63,1.08,1.45,0,27.1,4805,19129,3418,30521,4311,1826,5595,1856,8280,2729,4691,5168,17933,2243,6177,11355,10991,15601,41255,221.6,145.96,1243.44,1638,Germany,1995,219.6384,39308.0884160853,81138653,NA,2.15101506271
