entity,code,year,fruit_consumed_kg_pc_year,gdp_capita_year,total_pop,continent,kg_vgtbl_capita_year,bladder_cancer_deaths,brain_nvss_cancer_deaths,breast_cancer_deaths,cervical_cancer_deaths,colon_rect_cancer_deaths,esophageal_cancer_deaths,gallbladder_cancer_deaths,kidney_cancer_deaths,larynx_cancer_deaths,leukemia_deaths,lip_and_oral_cavity_cancer_deaths,liver_cancer_deaths,non_hodgkin_lymphoma_deaths,other_cancers_deaths,other_pharynx_cancer_deaths,ovarian_cancer_deaths,pancreatic_cancer_deaths,prostate_cancer_deaths,stomach_cancer_deaths,tracheal_bronchus_and_lung_cancer_deaths,cal_frm_animl_prot,cal_frm_plnt_prot,cal_frm_fat,cal_frm_carbs,daly,percent_prevalence_depressive_disorders,total_life_satis,kg_banana_capita_year,kg_dates_capita_year,kg_citrus_other_capita_year,kg_orng_mand_capita_year,kg_apple_prod_capita_year,kg_lemon_lime_capita_year,kg_grape_capita_year,kg_grapefrt_prod_capita_year,kg_pineapple_prod_capita_year,kg_plantains_capita_year,kg_other_frt_capita_year,life_expectancy,deaths_unsafe_water_source,deaths_unsafe_sanitation,deaths_no_access_to_handwashing_facility,deaths_household_air_pollution_from_solid_fuels,deaths_non_exclusive_breastfeeding,deaths_discontinued_breastfeeding,deaths_child_wasting,deaths_child_stunting,deaths_low_birth_weight_for_gestation,deaths_secondhand_smoke,deaths_alcohol_use,deaths_drug_use,deaths_diet_low_in_fruits,deaths_diet_low_in_vegetables,deaths_unsafe_sex,deaths_low_physical_activity,deaths_high_fasting_plasma_glucose,deaths_high_total_cholesterol,deaths_high_body_mass_index,deaths_high_systolic_blood_pressure,deaths_smoking,deaths_iron_deficiency,deaths_vitamin_a_deficiency,deaths_low_bone_mineral_density,deaths_air_pollution,deaths_a_outdoor_air_pollution_all_ages_ihme,deaths_diet_high_in_sodium,deaths_diet_low_in_whole_grains,deaths_diet_low_in_nuts_and_seeds,population_sq_kg_land,prevalence_schizophrenia,prevalence_bipolar_disorder,prevalence_eating_disorders,prevalence_anxiety_disorders,prevalence_drug_use_disorders,prevalence_alcohol_use_disorders,proportion_wmn_snr_uppr_mgmnt,num_males_born_100fml_born,percent_fml,prevalence_mental_and_substance_use_disorders,dal_ys_disability_adjusted_life_years_non_communicable_diseases,dal_ys_disability_adjusted_life_years_communicable_maternal_neonatal_and_nutritional_diseases,dal_ys_disability_adjusted_life_years_injuries
Pakistan,PAK,1955,NA,NA,40488032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palestine,PSE,1901,NA,NA,292744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palestine,PSE,1979,NA,NA,1471138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.4258186519551,NA,NA,NA,NA
Peru,PER,1970,318.77160000000003,NA,13459789,NA,140.0962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.68,134.64,287.37,1685.31,NA,NA,NA,0,0.03,0.79,16.59,5.52,5.03,1.71,0.99,3.99,54.98,26.7,54.174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.51546015625,NA,NA,NA,NA,NA,NA,NA,NA,49.8968371643865,NA,NA,NA,NA
Peru,PER,1928,NA,NA,5381399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poland,POL,1918,NA,NA,23949906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portugal,PRT,2019,NA,34879.7059746537,10226178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.97,106,52.7030137750389,NA,NA,NA,NA
Puerto_Rico,PRI,2020,NA,33442.8315702748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.6181820723983,NA,NA,NA,NA
Russia,RUS,1902,NA,NA,66136556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russia,RUS,1980,NA,NA,138053143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204.16,209.2,857.97,2106.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.48141696588458,NA,NA,NA,NA,NA,NA,NA,NA,53.8602333740421,NA,NA,NA,NA
Samoa,WSM,1981,687.3016,NA,156410,NA,12.795800000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.16,117.24,880.83,1365.77,NA,NA,NA,83.97,NA,4.12,0.08,0.12,0,0.05,NA,27.28,NA,135.22,63.937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.2685512367491,NA,NA,NA,NA,NA,NA,NA,NA,48.7021290198836,NA,NA,NA,NA
Samoa,WSM,1939,NA,NA,66427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saudi_Arabia,SAU,2007,255.642,43865.9203062551,25184589,NA,265.56080000000003,221,521,647,117,826,211,146,126,79,682,129,1186,432,965,79,170,471,288,480,832,130.6,209.56,747,1958.84,28261.2241602607,3.48414751811,7.267,9.12,35.71,5.84,11.51,10.02,1.36,7.46,0.33,0.85,0,11.09,73.467,195.90577762959,61.02833876618326,201.86538598002588,118.29218705781314,44.55960816003174,5.310332225035492,238.96391860781245,28.10871115075445,3350.142404135499,1374.7014609795428,341.23873600852176,537.6416393443407,3256.8181399664254,2884.650500411718,347.5616100152778,2987.6322830001877,13236.143728971923,NA,12242.915096038623,16261.607593857196,4155.048116236315,29.41219040276177,39.35108765365766,561.7604599954662,6904.666143379069,6869.19,2448.217202696367,5941.244832359547,4416.802689325593,11.7154515302206,0.202759830709,0.8125966764439999,0.262648526119,4.73719499958,1.44951174434,0.6612997530129999,NA,103,44.0188005450476,13.5502855073,3572921.2086815443,848214.2080724154,925260.7251954664
Singapore,SGP,1917,NA,NA,365064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slovakia,SVK,1943,NA,NA,3327287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slovenia,SVN,2019,NA,38905.5478569196,2078654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.51,105.6,50.2233656972252,NA,NA,NA,NA
Slovenia,SVN,1977,NA,NA,1777315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.4785004965243,NA,NA,NA,NA,NA,NA,NA,106.9,51.6365416372449,NA,NA,NA,NA
Somalia,SOM,1909,NA,NA,1587096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Somalia,SOM,1987,NA,NA,6862267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9386728090031,NA,NA,NA,NA,NA,NA,NA,103,49.6256994955166,NA,NA,NA,NA
South_Korea,KOR,1965,26.9342,NA,28895557,NA,225.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.52,213,148.41,1977.07,NA,NA,NA,0,0,0.04,0.04,5.23,0,0.59,0,0,NA,3.93,57.772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,297.581111341489,NA,NA,NA,NA,NA,NA,NA,NA,49.6478749310837,NA,NA,NA,NA
South_Korea,KOR,1923,NA,NA,11501294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.534401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,ESP,1910,NA,NA,19859107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.779999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,SWE,1997,253.313,35764.6847640308,8868857,NA,192.4576,725,543,1691,294,2803,410,226,754,75,756,161,628,853,2675,79,716,1331,2344,1146,3034,263.2,135.04,1160.73,1528.03,20762.177311066465,4.61692749835,NA,15.05,0.06,0.35,31.74,16.47,1.37,5.53,1.33,1.21,0.01,19.32,79.171,3.076950449845987,2.9768619860096575,21.973632086428943,151.28810548558093,0.8080401577480486,0.02999910449284728,38.62609289103008,0.29437897923944717,91.95292071721686,1041.751984769858,1984.806740311418,366.29134443068784,3743.259596842843,4540.699377740791,348.55987413728445,4072.7530357735504,16382.433119986576,NA,8377.124338533931,24101.462337275265,16221.233394471636,1.2330158168158336,0.5361494170840834,577.1553490533549,3380.7997331648535,3253.12,3892.992323923829,6813.742033510927,5457.661658254068,21.5578837061949,0.281870936027,1.06160196867,0.487225274967,5.32655609669,0.540505482351,1.93235987699,NA,105.6,50.5795053409926,15.7522901346,2228910.8396314783,107058.27570383096,228994.20129812555
Sweden,SWE,1955,NA,NA,7262625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1913,NA,NA,3751057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.189999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taiwan,TWN,1906,NA,NA,3038889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thailand,THA,1971,180.977,NA,37963280,NA,137.24660000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.8,139,245.97,1745.23,NA,NA,NA,28.22,0,0,11.54,0,0.88,0.04,0.31,5.38,NA,19.68,59.887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.3081289514377,NA,NA,NA,NA,NA,NA,NA,NA,49.8795414937803,NA,NA,NA,NA
Thailand,THA,1929,NA,NA,12457259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turkey,TUR,1902,NA,NA,14360092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United_Kingdom,GBR,2011,344.4728,42294.1204630137,64021922,NA,265.56080000000003,5619,3877,13144,1642,18290,8046,2069,4129,841,6665,1585,4204,5211,18353,888,4758,9654,11783,7872,36940,234.28,177.44,1243.26,1762.02,20334.33659586441,4.12623025185,6.869,15.24,0.24,0.29,37.81,27.44,2.05,10.89,3.21,3.63,0.52,24.41,80.564,54.993741841004855,9.42402208589645,236.6827633856408,413.97423599649863,20.940324579307298,2.649961540978749,147.0041057049714,4.4214322940896444,1631.8988689902474,5517.14418527965,14845.777988136017,4576.3836357567525,17987.247001588574,13395.35175844721,1959.014316670304,14756.767817107337,61612.86734887964,NA,51641.7045071664,81480.23685456076,92838.30948638664,14.268197875405004,5.04424491065441,3172.1503809185124,26439.4025467798,26388.05,13163.456713038042,23807.96739678148,16766.242497158535,261.475674781962,0.25293185913800004,1.08511341465,0.540521659163,4.66682568406,1.74854457134,1.91385638281,32.12,105.1,50.8411696855961,14.6339721064,15174911.28436228,1043102.8756516489,1232657.6934689598
United_States,USA,1966,221.1454,NA,201895760,NA,248.57280000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.16,127.12,1030.05,1530.67,NA,NA,NA,7.31,0.13,0,26.35,11.75,2.15,5.59,7.35,5.13,0,14.95,70.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.4609518984688,NA,NA,NA,NA,NA,NA,NA,NA,50.588655254573,NA,NA,NA,NA
United_States,USA,1924,NA,NA,117928215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uruguay,URY,2019,NA,23032.7340435597,3461731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.18,105,51.7036707936001,NA,NA,NA,NA
Vietnam,VNM,1917,NA,NA,18414134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
World,OWID_WRL,2014,NA,15177.2017010076,7293918826,NA,NA,176794,217696,526001,243098,794515,402062,97416,125420,106699,302623,167199,783530,227857,871900,111648,157201,385795,355280,822276,1651199,NA,NA,NA,NA,34465.04261118011,3.4396975725700005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.364,1282539.7986760873,854076.1423118832,748144.0074053414,1744033.0911323614,188371.92807154224,12323.168119539523,1261561.8659976225,281796.0020944328,1233224.1142242884,1164110.805614727,2706466.6920362036,526924.9121508303,2336607.2840473615,1422744.268878621,1216378.7416980022,1176347.6191297034,6002241.7781298105,NA,4272118.459091743,9756852.925839668,6764715.825262199,65610.49187012603,287695.39709002216,299673.3874415993,4775123.183699458,3176113.07,2972737.2203995953,2899395.9966644696,1949977.6057734317,55.8611312094414,0.254594230597,0.595385649356,0.205832652136,3.77919126454,0.92494881154,1.4203928768399998,NA,107.056143509475,49.5845543137648,12.9711857664,1479185586.5107608,767641039.8234291,258140009.2327403
Zimbabwe,ZWE,2003,39.2642,2857.15233572024,11982219,NA,33.154,384,201,745,1523,680,1131,295,50,151,285,88,1087,447,1263,34,224,378,1185,858,691,41.2,150.24,490.77,1327.79,116525.6885945855,3.089273552,NA,6.29,0,0.03,5.24,0.6,1.27,0.04,0.43,0.01,NA,0.44,43.195,3333.165010852416,2298.7178444694,3135.4890171614293,6991.824273152716,746.4464408076608,43.60507362567985,6203.531746641878,1061.0055116820497,5079.654452396844,1907.7114158020304,7556.245382167005,2277.5172613627224,3490.0061144501906,2727.5312201666766,90034.13700584126,875.5717098666119,10202.603650954712,NA,5446.796852213593,11689.567569906734,9715.978369494693,475.5386064779819,1040.7373176902752,264.5271267812061,9038.010169866078,2127.4,1166.157577782127,2748.760332685021,2495.286435886659,30.9738115548662,0.161205893211,0.60722607688,0.13585674119,3.09184422793,0.724704770523,1.48282310453,NA,NA,51.7226567132515,11.4627680372,2107642.940770883,8676098.312198108,656524.886641936
Zimbabwe,ZWE,2021,NA,NA,15092171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guam,GUM,1991,NA,NA,NA,NA,NA,1,1,6,2,10,2,1,1,1,5,2,6,4,11,1,1,4,4,4,29,NA,NA,NA,NA,28474.58510977534,3.39738986122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.167,0.6267955509054405,0.1971407633497532,0.6017982370332897,8.21403190479229,0.509696893753376,0.00678381138597935,5.791018047110769,0.4548067125757701,12.668642084887,14.203165481759871,5.575238616392827,5.852594047076778,15.055380482575003,23.922917093561395,4.55129262400233,15.839851166011998,95.11490202441288,NA,100.64802880612262,132.25476556543265,51.44648511957715,0.21205098036994088,0.6675550129620084,1.4672112962366188,33.189105404187224,24.99,48.47246585370426,42.88668988219213,33.728406614465015,247.32037037037,0.26084040011,0.476490805251,0.234709519775,3.26648384447,0.782659040272,1.22289304306,NA,NA,46.7926590941424,11.2933449285,22875.082314658273,5334.334488461384,4383.322668473946
Afghanistan,AFG,2005,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.29,10973.73632543699,8410.948805656344,7928.463722357445,27621.503383483672,3761.322093759868,245.14069344650252,27799.719163588437,10077.029719018426,19645.295038952263,5942.14202228038,202.23241784325288,534.7369465670977,10860.106167783411,9306.474278718257,612.2664421428871,4836.24737779626,25417.50423203954,20922.6567002,11027.527172946147,32313.170281076444,7680.85849511896,1386.847165697088,7456.091311331133,396.70276880761503,33603.46734599191,6189.71,2958.5743889039104,13785.140782963996,8782.006155245477,39.2952149005912,NA,NA,NA,NA,NA,NA,NA,NA,48.3918975840049,17.6479111993,5748498.201101661,9747248.542203268,2120181.124960515
Austria,AUT,1968,113.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.7965972390409,NA,NA,NA,NA,NA,NA,NA,NA,53.1121577949081,NA,NA,NA,NA
