entity,code,year,fruit_consumed_kg_pc_year,gdp_capita_year,total_pop,continent,kg_vgtbl_capita_year,bladder_cancer_deaths,brain_nvss_cancer_deaths,breast_cancer_deaths,cervical_cancer_deaths,colon_rect_cancer_deaths,esophageal_cancer_deaths,gallbladder_cancer_deaths,kidney_cancer_deaths,larynx_cancer_deaths,leukemia_deaths,lip_and_oral_cavity_cancer_deaths,liver_cancer_deaths,non_hodgkin_lymphoma_deaths,other_cancers_deaths,other_pharynx_cancer_deaths,ovarian_cancer_deaths,pancreatic_cancer_deaths,prostate_cancer_deaths,stomach_cancer_deaths,tracheal_bronchus_and_lung_cancer_deaths,cal_frm_animl_prot,cal_frm_plnt_prot,cal_frm_fat,cal_frm_carbs,daly,percent_prevalence_depressive_disorders,total_life_satis,kg_banana_capita_year,kg_dates_capita_year,kg_citrus_other_capita_year,kg_orng_mand_capita_year,kg_apple_prod_capita_year,kg_lemon_lime_capita_year,kg_grape_capita_year,kg_grapefrt_prod_capita_year,kg_pineapple_prod_capita_year,kg_plantains_capita_year,kg_other_frt_capita_year,life_expectancy,deaths_unsafe_water_source,deaths_unsafe_sanitation,deaths_no_access_to_handwashing_facility,deaths_household_air_pollution_from_solid_fuels,deaths_non_exclusive_breastfeeding,deaths_discontinued_breastfeeding,deaths_child_wasting,deaths_child_stunting,deaths_low_birth_weight_for_gestation,deaths_secondhand_smoke,deaths_alcohol_use,deaths_drug_use,deaths_diet_low_in_fruits,deaths_diet_low_in_vegetables,deaths_unsafe_sex,deaths_low_physical_activity,deaths_high_fasting_plasma_glucose,deaths_high_total_cholesterol,deaths_high_body_mass_index,deaths_high_systolic_blood_pressure,deaths_smoking,deaths_iron_deficiency,deaths_vitamin_a_deficiency,deaths_low_bone_mineral_density,deaths_air_pollution,deaths_a_outdoor_air_pollution_all_ages_ihme,deaths_diet_high_in_sodium,deaths_diet_low_in_whole_grains,deaths_diet_low_in_nuts_and_seeds,population_sq_kg_land,prevalence_schizophrenia,prevalence_bipolar_disorder,prevalence_eating_disorders,prevalence_anxiety_disorders,prevalence_drug_use_disorders,prevalence_alcohol_use_disorders,proportion_wmn_snr_uppr_mgmnt,num_males_born_100fml_born,percent_fml,prevalence_mental_and_substance_use_disorders,dal_ys_disability_adjusted_life_years_non_communicable_diseases,dal_ys_disability_adjusted_life_years_communicable_maternal_neonatal_and_nutritional_diseases,dal_ys_disability_adjusted_life_years_injuries
Dominican_Republic,DOM,1978,584.99,NA,5539596,NA,80.61080000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.76,114.6,457.11,1505.53,NA,NA,NA,49.19,0,NA,9.72,0.3,2.15,0.23,0.41,3.22,98.61,49.68,62.079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.667687849307,NA,NA,NA,NA,NA,NA,NA,NA,49.5637949048992,NA,NA,NA,NA
Dominican_Republic,DOM,1936,NA,NA,1501389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecuador,ECU,1962,703.5498,NA,4809194,NA,200.2666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.72,127.56,421.47,1408.25,NA,NA,NA,119.75,0,8.87,27.23,0.5,5.38,0.26,0.2,9.35,54.84,30.39,54.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3717454125126,NA,NA,NA,NA,NA,NA,NA,105,49.9614904285417,NA,NA,NA,NA
Ecuador,ECU,1920,NA,NA,1844347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egypt,EGY,1996,248.60020000000003,6671.08939267294,63601632,NA,461.553,2627,1217,2029,376,1718,546,1842,304,361,2097,224,5384,987,3966,103,770,1310,915,1857,2248,61.08,304.16,498.24,2468.52,46319.943925661835,3.17682407716,NA,8.36,10.7,0.04,29.01,6.25,4.35,13.83,0.01,0.01,0,18.17,67.249,13958.666823497191,13442.03302227234,5107.229412478911,5127.024916775998,6264.319127356427,409.45760657028063,31306.12814185221,6285.040972739052,22022.98269055163,15639.279068214544,4239.615127999505,798.2710713182055,16846.985726854615,4558.912264184501,370.6765242304876,12806.243083778956,46514.2621631515,NA,52546.862175724986,76199.58874857181,40932.22252800706,680.973364224641,4368.307782484087,1055.3636127008483,43729.72972228691,38890.42,8875.76697728591,28689.689955032012,24227.11746750759,63.8923421568135,0.181962490143,0.766232815736,0.152994737001,4.29029842608,1.27421391573,0.619534265853,NA,NA,49.6415107712959,15.0738830089,12433307.707256926,9655824.612304645,2496243.450918667
Egypt,EGY,1954,NA,NA,22611502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,EST,2009,226.37880000000004,25390.753967296,1336140,NA,293.7828,100,86,227,75,415,65,19,118,41,125,55,88,69,322,33,107,229,221,331,665,220.84,173.88,860.13,2093.15,27200.00062234704,4.05113254844,5.138,8.27,0.04,0.21,19.01,21,1.32,6.66,1.91,2.45,0,21.74,74.723,0.7096474920621565,0.36030787911608464,2.3483903594847333,191.03259232193244,0.7082405436711385,0.02419437689237167,3.934916070632619,0.3391088929672692,17.252625636920992,277.0828786414625,1738.2197766179136,231.94961939328036,800.2249944094153,696.0511867993499,103.66089998832014,542.0913988333888,2845.8544221076563,NA,2713.665958528672,5656.579021841602,2485.371163190907,0.0690331197746711,0.03635770910154351,45.91195958424365,659.111877862554,470.71,1226.4133220159092,1191.4123788089391,1011.39141275828,31.4818353385232,0.201504850936,0.707936578633,0.246115391826,2.96852622393,1.12278094156,5.01508508821,34.34,106,53.4611642492553,12.2336670417,416437.0730280403,24673.573917929694,63223.69024452728
Estonia,EST,1967,NA,NA,1319249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.2,226.68,727.29,2115.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.1145553196509,NA,NA,NA,NA,NA,NA,NA,105.2,54.6345686068362,NA,NA,NA,NA
Finland,FIN,1985,168.29080000000002,NA,4911220,NA,123.437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234.64,132.6,1111.77,1483.99,NA,NA,NA,9.3,0.03,0.01,16.78,15.18,0.82,4.82,1.46,1.19,0,11.83,74.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.0944417085262,NA,NA,NA,NA,NA,NA,NA,NA,51.5792613647933,NA,NA,NA,NA
Finland,FIN,1943,NA,NA,3783681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.299999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,FRA,2019,NA,45834.1669122703,65129731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.24,104.9,51.5973833824064,NA,NA,NA,NA
Germany,DEU,1995,219.6384,39308.0884160853,81138653,NA,212.761,6509,4805,19129,3418,30521,4311,1826,5595,1856,8280,2729,4691,5168,17933,2243,6177,11355,10991,15601,41255,221.6,145.96,1243.44,1638,24017.45888738684,3.899397054740001,NA,14.07,0.05,0.5,7.3,19.59,1.39,7.63,1.08,1.45,0,27.1,76.623,24.07274134543776,21.947337283899888,107.43364965406786,1608.1301453484127,12.026730917177185,0.976926194738762,93.9538145832891,2.241090772832533,1496.7589483254808,10819.25188420338,66697.67970865544,5109.1313947360995,36933.831054361595,41007.89106410219,5867.427119047031,35722.017866324575,140951.5090801192,136649.141562,92530.53340182238,241667.2508016339,181756.76359385048,13.31910017761984,1.5382236370188815,4763.020564528051,51375.476834451634,50470.16,32180.69151476579,53142.49803347392,49174.19729249141,233.967490690347,0.25319130016499997,0.769740526708,0.47775822479599994,6.783240157459999,0.7507216856419999,2.15101506271,NA,NA,51.5119655733008,15.3476620994,22918892.706820592,1050778.7853917691,2311729.747806467
